order_id,fk_buyer_id,fk_depot_id,sales_order_status,creation_time
119874,82228,5,Rejected,0:35:28
119877,40476,1,Rejected,0:02:43
119880,41728,8,Shipped,0:42:12
119883,97616,4,Rejected,0:56:00
119886,12440,1,Rejected,0:11:31
119889,92408,1,Rejected,0:18:37
119892,79316,4,Shipped,0:19:14
119895,48308,5,Rejected,0:35:01
119898,48308,5,Rejected,0:39:56
119901,48308,5,Rejected,0:40:20
119904,85584,8,Rejected,0:08:46
119907,45252,8,Shipped,0:50:38
119910,100064,3,Rejected,0:56:49
119913,82800,3,Rejected,0:58:29
119916,76852,1,Rejected,0:12:10
119919,46024,1,Shipped,0:31:27
119922,100036,9,Rejected,0:38:41
119925,93520,9,Rejected,0:39:10
119928,61412,9,Rejected,0:45:59
119931,70876,5,Rejected,0:50:23
119934,100040,3,Rejected,0:52:13
119937,100064,3,Rejected,0:52:15
119940,100040,3,Rejected,0:52:53
119943,82372,8,Shipped,0:57:40
119946,62720,4,Rejected,0:02:44
119949,39464,5,Rejected,0:04:56
119952,68092,3,Shipped,0:05:56
119955,62720,4,Shipped,0:06:18
119958,100036,9,Rejected,0:07:47
119961,62720,4,Rejected,0:10:12
119964,62720,4,Rejected,0:14:03
119967,98124,2,Rejected,0:18:39
119970,92988,9,Rejected,0:20:07
119973,72272,1,Rejected,0:20:45
119976,54624,1,Shipped,0:21:10
119979,75252,2,Rejected,0:25:51
119982,86236,3,Rejected,0:33:57
119985,39348,1,Shipped,0:34:40
119988,90308,1,Shipped,0:36:10
119991,100160,3,Rejected,0:39:28
119994,1640,1,Shipped,0:39:34
119997,1640,1,Shipped,0:40:55
120000,98124,2,Shipped,0:44:26
120003,100168,3,Rejected,0:45:14
120006,75204,4,Rejected,0:51:32
120009,75204,4,Rejected,0:56:20
120012,84052,4,Rejected,0:57:20
120015,68000,3,Rejected,0:02:32
120018,20908,1,Shipped,0:05:13
120021,75204,4,Shipped,0:14:04
120024,41728,8,Rejected,0:18:57
120027,18632,1,Rejected,0:22:43
120030,59860,3,Shipped,0:25:18
120033,76096,3,Rejected,0:26:10
120036,18632,1,Shipped,0:26:21
120039,78244,2,Shipped,0:10:58
120042,45536,1,Rejected,0:10:59
120045,98908,9,Rejected,0:11:25
120048,95844,9,Shipped,0:20:53
120051,75252,2,Rejected,0:24:56
120054,75252,2,Rejected,0:25:34
120057,84652,2,Rejected,0:26:20
120060,48308,5,Rejected,0:34:18
120063,100240,9,Rejected,0:44:39
120066,41816,8,Rejected,0:46:23
120069,21184,1,Shipped,0:51:25
120072,18704,1,Rejected,0:56:33
120075,99752,9,Shipped,0:58:01
120078,71276,1,Shipped,0:58:41
120081,26468,1,Rejected,0:02:34
120084,26468,1,Rejected,0:04:22
120087,79676,3,Shipped,0:05:27
120090,28328,5,Rejected,0:07:45
120093,63340,2,Shipped,0:11:44
120096,98592,1,Rejected,0:12:15
120099,54492,5,Rejected,0:14:30
120102,98592,1,Rejected,0:16:23
120105,44288,8,Shipped,0:23:41
120108,58796,1,Shipped,0:27:58
120111,54492,5,Rejected,0:29:51
120114,54492,5,Rejected,0:30:50
120117,54492,5,Rejected,0:33:03
120120,54492,5,Rejected,0:37:14
120123,52252,2,Shipped,0:38:43
120126,54492,5,Rejected,0:53:50
120129,54484,5,Rejected,0:57:26
120132,75252,2,Rejected,0:01:01
120135,75252,2,Shipped,0:03:07
120138,54484,5,Rejected,0:07:03
120141,88928,7,Rejected,0:08:28
120144,70988,7,Rejected,0:09:04
120147,94152,9,Shipped,0:12:27
120150,59904,8,Rejected,0:15:48
120153,1208,1,Shipped,0:33:25
120156,97984,5,Shipped,0:36:00
120159,91152,1,Shipped,0:49:10
120162,34748,5,Rejected,0:52:51
120165,100356,1,Rejected,0:56:05
120168,94668,1,Rejected,0:11:05
120171,96684,3,Rejected,0:12:28
120174,100356,1,Rejected,0:13:26
120177,96684,3,Rejected,0:14:39
120180,95700,1,Rejected,0:19:25
120183,36140,1,Shipped,0:19:37
120186,79652,8,Rejected,0:27:05
120189,38308,1,Rejected,0:31:46
120192,96684,3,Rejected,0:33:27
120195,78588,4,Shipped,0:37:42
120198,40176,1,Rejected,0:56:22
120201,53728,1,Rejected,0:00:18
120204,39432,1,Shipped,0:06:05
120207,68680,2,Shipped,0:19:14
120210,100436,2,Rejected,0:24:05
120213,64272,3,Rejected,0:36:52
120216,44512,9,Rejected,0:42:19
120219,25440,1,Shipped,0:45:38
120222,89896,4,Shipped,0:46:54
120225,44512,9,Shipped,0:48:30
120228,70224,3,Rejected,0:53:23
120231,79652,8,Rejected,0:56:22
120234,79652,8,Rejected,0:58:03
120237,78008,9,Rejected,0:09:55
120240,99052,9,Rejected,0:10:35
120243,44368,9,Rejected,0:15:39
120246,37516,1,Rejected,0:21:48
120249,38368,1,Shipped,0:25:02
120252,77900,2,Shipped,0:33:31
120255,40680,1,Shipped,0:38:43
120258,47312,2,Rejected,0:48:31
120261,35540,1,Rejected,0:53:53
120264,12440,1,Shipped,0:57:08
120267,45196,8,Rejected,0:08:48
120270,82980,8,Rejected,0:13:13
120273,54204,9,Rejected,0:14:16
120276,56736,8,Rejected,0:31:00
120279,79652,8,Rejected,0:33:49
120282,79652,8,Rejected,0:35:49
120285,44400,9,Rejected,0:42:13
120288,78636,3,Shipped,0:55:37
120291,65144,1,Rejected,0:12:01
120294,65144,1,Rejected,0:15:37
120297,92408,1,Rejected,0:37:00
120300,100488,9,Rejected,0:38:37
120303,92784,3,Rejected,0:22:32
120306,49660,8,Rejected,0:57:22
120309,32352,1,Rejected,0:00:31
120312,92408,1,Rejected,0:13:43
120315,92408,1,Rejected,0:20:20
120318,41840,8,Rejected,0:32:41
120321,100604,1,Rejected,0:45:50
120324,59792,8,Rejected,0:03:34
120327,100616,2,Rejected,0:10:07
120330,100616,2,Rejected,0:12:14
120333,100616,2,Rejected,0:13:00
120336,100616,2,Rejected,0:13:34
120339,100616,2,Rejected,0:14:28
120342,100616,2,Rejected,0:15:43
